uf;br;total_acidentes;total_mortos;perc_fatais
MG;381;2845;158;4.89
BA;101;956;153;12.76
MG;40;1972;153;6.24
PR;277;2157;152;6.21
SP;116;3249;152;4.4
SC;101;4222;147;3.32
RJ;101;2415;138;5.18
BA;116;1038;126;10.6
MG;116;1412;124;7.37
ES;101;2084;123;5.37
PR;376;1700;116;6.41
PE;232;830;105;11.93
MG;262;1095;101;8.22
SC;470;1066;101;7.69
SC;282;1379;100;5.95
RJ;116;1798;95;5.12
GO;153;973;91;6.78
MG;365;600;87;11.83
MT;163;969;84;6.19
RO;364;1112;78;5.76
PB;230;1191;75;5.46
TO;153;482;75;12.45
CE;116;707;72;9.19
MA;316;244;72;25.41
PR;369;915;72;6.56
BA;242;256;69;19.53
PE;101;1130;68;5.49
BA;324;942;63;5.94
RS;116;1317;63;4.18
MT;364;750;60;7.6
RS;386;623;60;7.7
PA;230;280;55;16.79
PR;476;427;55;10.07
GO;60;803;52;6.23
CE;222;359;51;13.09
MG;251;271;51;12.92
PI;343;742;51;6.33
BA;110;210;50;19.52
MT;70;589;50;7.13
MA;135;390;49;11.28
PE;423;144;49;22.22
MS;163;781;47;5.89
PA;316;271;47;15.5
PR;116;1113;47;4.04
MA;10;221;46;18.1
MA;222;152;46;23.68
SC;280;880;44;4.09
PR;153;402;43;9.7
MS;262;285;41;11.93
PA;163;261;40;12.64
RS;290;768;40;4.04
PA;10;158;39;23.42
PR;373;231;39;11.69
PI;135;111;36;22.52
PI;316;448;36;7.81
GO;20;170;34;12.35
PR;163;373;34;8.04
RJ;40;1071;34;2.99
RS;285;408;33;6.86
SP;381;651;32;4.92
AL;101;254;31;11.42
PB;101;509;30;5.3
SE;101;346;30;8.38
GO;70;210;28;11.9
MG;153;269;28;8.55
MG;50;592;28;4.73
RJ;393;320;28;7.81
AL;316;177;27;13.56
ES;262;382;26;6.02
RS;392;364;26;5.49
GO;40;335;25;6.87
GO;414;161;25;12.42
MT;158;119;25;19.33
RN;101;705;25;3.26
RN;304;398;25;5.78
SP;153;449;25;4.68
BA;407;127;24;16.54
MA;226;104;24;20.19
MA;230;119;24;18.49
MT;174;205;24;10.73
PE;104;203;24;11.82
PE;408;141;24;16.31
RJ;493;369;23;5.69
SC;116;328;23;5.79
RS;158;255;22;7.45
RS;470;322;22;6.83
PA;222;37;21;35.14
RN;226;177;21;9.04
RN;405;82;21;25.61
SE;235;241;21;6.22
BA;135;58;20;22.41
PE;316;96;19;19.79
AC;364;220;18;8.18
PB;104;169;18;10.06
PE;424;76;17;19.74
AL;104;130;16;11.54
AM;319;36;16;27.78
BA;235;76;16;18.42
BA;349;52;16;23.08
MS;267;145;16;9.66
PI;230;88;16;15.91
RS;293;110;16;9.09
CE;20;132;15;11.36
GO;364;137;15;8.76
MS;158;133;15;11.28
PI;407;37;15;37.84
AP;210;111;14;8.11
GO;50;159;14;6.29
MG;459;125;14;11.2
MS;60;157;14;7.01
RR;174;81;14;16.05
CE;230;22;13;54.55
PE;428;202;13;5.94
PR;158;99;12;9.09
PR;272;53;12;15.09
AC;317;52;11;21.15
DF;80;68;11;13.24
MA;402;26;11;30.77
MG;267;130;11;7.69
