municipio;total_acidentes;total_mortos
BRASILIA;1011;47
DUQUE DE CAXIAS;847;27
SAO JOSE;761;13
GUARULHOS;742;22
CURITIBA;702;29
BETIM;682;22
RECIFE;615;26
SERRA;579;20
PALHOCA;568;12
JOAO PESSOA;543;18
TERESINA;499;24
SAO JOSE DOS PINHAIS;464;30
RIO DE JANEIRO;448;13
NOVA IGUACU;439;17
ANGRA DOS REIS;437;16
SAO JOSE DOS CAMPOS;413;13
FEIRA DE SANTANA;403;31
ANAPOLIS;385;12
ITAJAI;382;13
UBERABA;366;14
ARAQUARI;352;11
CAMPOS DOS GOYTACAZES;350;28
UBERLANDIA;349;18
LINHARES;345;18
SAO GONCALO;337;15
NATAL;325;7
CASCAVEL;323;31
PORTO VELHO;319;19
SAO PAULO;316;23
VITORIA DA CONQUISTA;314;21
