tipo_acidente;total_acidentes;lift
Atropelamento de Pedestre;3057;4.11
Colisão frontal;4739;4.1
Colisão lateral sentido oposto;2152;1.37
Eventos atípicos;287;1.12
Atropelamento de Animal;1133;0.84
Saída de leito carroçável;10209;0.82
Colisão com objeto;5109;0.81
Colisão transversal;9306;0.64
Capotamento;1373;0.64
Colisão traseira;14360;0.6
Tombamento;6351;0.59
Derramamento de carga;107;0.39
Colisão lateral mesmo sentido;7885;0.37
Queda de ocupante de veículo;3450;0.35
Engavetamento;1233;0.32
Incêndio;1771;0.0
